Symbol	Ensembl_ID	Genename	Refseq_ID
LYG1	ENSG00000144214	lysozyme g1	NM_001371380
MMRN1	ENSG00000138722	multimerin 1	NM_001371403
CXCL13	ENSG00000156234	C-X-C motif chemokine ligand 13	NM_001371558
CCL26	ENSG00000006606	C-C motif chemokine ligand 26	NM_001371936
PDGFRL	ENSG00000104213	platelet derived growth factor receptor like	NM_001372073
PRSS38	ENSG00000185888	serine protease 38	NM_001374657
ANGPTL1	ENSG00000116194	angiopoietin like 1	NM_001376763
BPIFB3	ENSG00000186190	BPI fold containing family B member 3	NM_001376932
COL9A1	ENSG00000112280	collagen type IX alpha 1 chain	NM_001377289
CFHR1	ENSG00000244414	complement factor H related 1	NM_001379306
COL18A1	ENSG00000182871	collagen type XVIII alpha 1 chain	NM_001379500
DPP4	ENSG00000197635	dipeptidyl peptidase 4	NM_001379604
THBS2	ENSG00000186340	thrombospondin 2	NM_001381939
CGB1	ENSG00000267631	chorionic gonadotropin subunit beta 1	NM_001382421
LLCFC1	ENSG00000165131	LLLL and CFNLAS motif containing 1	NM_001382496
FBLN5	ENSG00000140092	fibulin 5	NM_001384158
LALBA	ENSG00000167531	lactalbumin alpha	NM_001384350
HPR	ENSG00000261701	haptoglobin-related protein	NM_001384360
MMP26	ENSG00000167346	matrix metallopeptidase 26	NM_001384608
SEMA3D	ENSG00000153993	semaphorin 3D	NM_001384900
COL14A1	ENSG00000187955	collagen type XIV alpha 1 chain	NM_001384947
IL20	ENSG00000162891	interleukin 20	NM_001385165
ASIP	ENSG00000101440	agouti signaling protein	NM_001385218
IL17D	ENSG00000172458	interleukin 17D	NM_001385221
CGB7	ENSG00000196337	chorionic gonadotropin subunit beta 7	NM_001385261
PRSS33	ENSG00000103355	serine protease 33	NM_001385462
AMY2B	ENSG00000240038	amylase alpha 2B	NM_001386109
GDF1	ENSG00000130283	growth differentiation factor 1	NM_001387438
ITIH3	ENSG00000162267	inter-alpha-trypsin inhibitor heavy chain 3	NM_001392019
CRTAP	ENSG00000170275	cartilage associated protein	NM_001393363
MATN4	ENSG00000124159	matrilin 4	NM_001393530
MST1	ENSG00000173531	macrophage stimulating 1	NM_001393581
PYY	ENSG00000131096	peptide YY	NM_001394028
RNASE11	ENSG00000173464	ribonuclease A family member 11 (inactive)	NM_001394189
SPACA5	ENSG00000171489	sperm acrosome associated 5	NM_001394298
PRB3	ENSG00000197870	proline rich protein BstNI subfamily 3	NM_001394862
CSN3	ENSG00000171209	casein kappa	NM_001394997
OOSP3	ENSG00000285231	oocyte secreted protein family member 3	NM_001395255
OOSP4A	ENSG00000285010	oocyte secreted protein family member 4A	NM_001395277
PDGFA	ENSG00000197461	platelet derived growth factor subunit A	NM_001395363
NTF4	ENSG00000225950	neurotrophin 4	NM_001395489
WFDC5	ENSG00000175121	WAP four-disulfide core domain 5	NM_001395506
POLGARF	ENSG00000140521	POLG alternative reading frame	NM_001406557
PCSK9	ENSG00000169174	proprotein convertase subtilisin/kexin type 9	NM_001407240
MEGF6	ENSG00000162591	multiple EGF like domains 6	NM_001409
SIRPD	ENSG00000125900	signal regulatory protein delta	NM_001410802
WNT7B	ENSG00000188064	Wnt family member 7B	NM_001410806
TNC	ENSG00000041982	tenascin C	NM_001410991
MMP17	ENSG00000198598	matrix metallopeptidase 17	NM_001411000
RETNLB	ENSG00000163515	resistin like beta	NM_001412183
DEFB126	ENSG00000125788	defensin beta 126	NM_001412225
FRZB	ENSG00000162998	frizzled related protein	NM_001463
GPLD1	ENSG00000112293	glycosylphosphatidylinositol specific phospholipase D1	NM_001503
GPX5	ENSG00000224586	glutathione peroxidase 5	NM_001509
CXCL1	ENSG00000163739	C-X-C motif chemokine ligand 1	NM_001511
HCRT	ENSG00000161610	hypocretin neuropeptide precursor	NM_001524
IGFBP4	ENSG00000141753	insulin like growth factor binding protein 4	NM_001552
CCN1	ENSG00000142871	cellular communication network factor 1	NM_001554
CXCL10	ENSG00000169245	C-X-C motif chemokine ligand 10	NM_001565
ACRV1	ENSG00000134940	acrosomal vesicle protein 1	NM_001612
AMBP	ENSG00000106927	alpha-1-microglobulin/bikunin precursor	NM_001633
APOF	ENSG00000175336	apolipoprotein F	NM_001638
APCS	ENSG00000132703	"amyloid P component, serum"	NM_001639
APOA2	ENSG00000158874	apolipoprotein A2	NM_001643
APOC4	ENSG00000267467	apolipoprotein C4	NM_001646
APOD	ENSG00000189058	apolipoprotein D	NM_001647
AZU1	ENSG00000172232	azurocidin 1	NM_001700
CFB	ENSG00000243649	complement factor B	NM_001710
BGN	ENSG00000182492	biglycan	NM_001711
BMP6	ENSG00000153162	bone morphogenetic protein 6	NM_001718
BMP7	ENSG00000101144	bone morphogenetic protein 7	NM_001719
BMP8B	ENSG00000116985	bone morphogenetic protein 8b	NM_001720
BPI	ENSG00000101425	bactericidal permeability increasing protein	NM_001725
C9	ENSG00000113600	complement C9	NM_001737
SERPINA6	ENSG00000170099	serpin family A member 6	NM_001756
CEL	ENSG00000170835	carboxyl ester lipase	NM_001807
CLU	ENSG00000120885	clusterin	NM_001831
COL2A1	ENSG00000139219	collagen type II alpha 1 chain	NM_001844
COL4A2	ENSG00000134871	collagen type IV alpha 2 chain	NM_001846
COL6A1	ENSG00000142156	collagen type VI alpha 1 chain	NM_001848
COL6A2	ENSG00000142173	collagen type VI alpha 2 chain	NM_001849
COL8A1	ENSG00000144810	collagen type VIII alpha 1 chain	NM_001850
COL9A2	ENSG00000049089	collagen type IX alpha 2 chain	NM_001852
COL9A3	ENSG00000092758	collagen type IX alpha 3 chain	NM_001853
COL15A1	ENSG00000204291	collagen type XV alpha 1 chain	NM_001855
COL16A1	ENSG00000084636	collagen type XVI alpha 1 chain	NM_001856
COL19A1	ENSG00000082293	collagen type XIX alpha 1 chain	NM_001858
CPA1	ENSG00000091704	carboxypeptidase A1	NM_001868
CPA2	ENSG00000158516	carboxypeptidase A2	NM_001869
CPA3	ENSG00000163751	carboxypeptidase A3	NM_001870
CPB1	ENSG00000153002	carboxypeptidase B1	NM_001871
CRHBP	ENSG00000145708	corticotropin releasing hormone binding protein	NM_001882
HAPLN1	ENSG00000145681	hyaluronan and proteoglycan link protein 1	NM_001884
CST1	ENSG00000170373	cystatin SN	NM_001898
CST4	ENSG00000101441	cystatin S	NM_001899
CST5	ENSG00000170367	cystatin D	NM_001900
CCN2	ENSG00000118523	cellular communication network factor 2	NM_001901
CTRL	ENSG00000141086	chymotrypsin like	NM_001907
CTSD	ENSG00000117984	cathepsin D	NM_001909
DCN	ENSG00000011465	decorin	NM_001920
DEFA4	ENSG00000164821	defensin alpha 4	NM_001925
DEFA6	ENSG00000164822	defensin alpha 6	NM_001926
DPT	ENSG00000143196	dermatopontin	NM_001937
CELA1	ENSG00000139610	chymotrypsin like elastase 1	NM_001971
ELANE	ENSG00000197561	"elastase, neutrophil expressed"	NM_001972
F13B	ENSG00000143278	coagulation factor XIII B chain	NM_001994
FBLN1	ENSG00000077942	fibulin 1	NM_001996
FBN2	ENSG00000138829	fibrillin 2	NM_001999
FCN1	ENSG00000085265	ficolin 1	NM_002003
FGF4	ENSG00000075388	fibroblast growth factor 4	NM_002007
FGF7	ENSG00000140285	fibroblast growth factor 7	NM_002009
FGF9	ENSG00000102678	fibroblast growth factor 9	NM_002010
FMOD	ENSG00000122176	fibromodulin	NM_002023
GCG	ENSG00000115263	glucagon	NM_002054
GH2	ENSG00000136487	growth hormone 2	NM_002059
CXCL2	ENSG00000081041	C-X-C motif chemokine ligand 2	NM_002089
CXCL3	ENSG00000163734	C-X-C motif chemokine ligand 3	NM_002090
GZMK	ENSG00000113088	granzyme K	NM_002104
IFNA5	ENSG00000147873	interferon alpha 5	NM_002169
IFNA8	ENSG00000120242	interferon alpha 8	NM_002170
IFNA10	ENSG00000186803	interferon alpha 10	NM_002171
IFNA14	ENSG00000228083	interferon alpha 14	NM_002172
IFNA16	ENSG00000147885	interferon alpha 16	NM_002173
IFNA21	ENSG00000137080	interferon alpha 21	NM_002175
IFNB1	ENSG00000171855	interferon beta 1	NM_002176
IFNW1	ENSG00000177047	interferon omega 1	NM_002177
IGFBP6	ENSG00000167779	insulin like growth factor binding protein 6	NM_002178
IHH	ENSG00000163501	Indian hedgehog signaling molecule	NM_002181
IL12B	ENSG00000113302	interleukin 12B	NM_002187
IL17A	ENSG00000112115	interleukin 17A	NM_002190
INHA	ENSG00000123999	inhibin subunit alpha	NM_002191
INHBA	ENSG00000122641	inhibin subunit beta A	NM_002192
INHBB	ENSG00000163083	inhibin subunit beta B	NM_002193
INSL4	ENSG00000120211	insulin like 4	NM_002195
ITIH2	ENSG00000151655	inter-alpha-trypsin inhibitor heavy chain 2	NM_002216
KISS1	ENSG00000170498	KiSS-1 metastasis suppressor	NM_002256
KLK1	ENSG00000167748	kallikrein 1	NM_002257
LAIR2	ENSG00000167618	leukocyte associated immunoglobulin like receptor 2	NM_002288
LAMB1	ENSG00000091136	laminin subunit beta 1	NM_002291
LAMB2	ENSG00000172037	laminin subunit beta 2	NM_002292
LAMC1	ENSG00000135862	laminin subunit gamma 1	NM_002293
LECT2	ENSG00000145826	leukocyte cell derived chemotaxin 2	NM_002302
LGALS1	ENSG00000100097	galectin 1	NM_002305
LOXL2	ENSG00000134013	lysyl oxidase like 2	NM_002318
LUM	ENSG00000139329	lumican	NM_002345
MATN1	ENSG00000162510	matrilin 1	NM_002379
MATN3	ENSG00000132031	matrilin 3	NM_002381
SCGB2A1	ENSG00000124939	secretoglobin family 2A member 1	NM_002407
SCGB2A2	ENSG00000110484	secretoglobin family 2A member 2	NM_002411
MIF	ENSG00000240972	macrophage migration inhibitory factor	NM_002415
CXCL9	ENSG00000138755	C-X-C motif chemokine ligand 9	NM_002416
MMP3	ENSG00000149968	matrix metallopeptidase 3	NM_002422
MMP7	ENSG00000137673	matrix metallopeptidase 7	NM_002423
MMP10	ENSG00000166670	matrix metallopeptidase 10	NM_002425
MMP12	ENSG00000262406	matrix metallopeptidase 12	NM_002426
MMP13	ENSG00000137745	matrix metallopeptidase 13	NM_002427
MUC5B	ENSG00000117983	"mucin 5B, oligomeric mucus/gel-forming"	NM_002458
NGF	ENSG00000134259	nerve growth factor	NM_002506
NID1	ENSG00000116962	nidogen 1	NM_002508
CCN3	ENSG00000136999	cellular communication network factor 3	NM_002514
NPPB	ENSG00000120937	natriuretic peptide B	NM_002521
NPTX1	ENSG00000171246	neuronal pentraxin 1	NM_002522
NPTX2	ENSG00000106236	neuronal pentraxin 2	NM_002523
TNFRSF11B	ENSG00000164761	TNF receptor superfamily member 11b	NM_002546
OVGP1	ENSG00000085465	oviductal glycoprotein 1	NM_002557
REG3A	ENSG00000172016	regenerating family member 3 alpha	NM_002580
PAPPA	ENSG00000182752	pappalysin 1	NM_002581
PCOLCE	ENSG00000106333	procollagen C-endopeptidase enhancer	NM_002593
PDGFB	ENSG00000100311	platelet derived growth factor subunit B	NM_002608
PF4V1	ENSG00000109272	platelet factor 4 variant 1	NM_002620
PI3	ENSG00000124102	peptidase inhibitor 3	NM_002638
PIP	ENSG00000159763	prolactin induced protein	NM_002652
PLGLB2	ENSG00000125551	plasminogen like B2	NM_002665
PMCH	ENSG00000183395	pro-melanin concentrating hormone	NM_002674
PPBP	ENSG00000163736	pro-platelet basic protein	NM_002704
PRELP	ENSG00000188783	proline and arginine rich end leucine rich repeat protein	NM_002725
PRSS1	ENSG00000204983	serine protease 1	NM_002769
HTRA1	ENSG00000166033	HtrA serine peptidase 1	NM_002775
PRTN3	ENSG00000196415	proteinase 3	NM_002777
PTHLH	ENSG00000087494	parathyroid hormone like hormone	NM_002820
PTX3	ENSG00000163661	pentraxin 3	NM_002852
PZP	ENSG00000126838	PZP alpha-2-macroglobulin like	NM_002864
RARRES2	ENSG00000106538	retinoic acid receptor responder 2	NM_002889
RBP3	ENSG00000265203	retinol binding protein 3	NM_002900
REG1A	ENSG00000115386	regenerating family member 1 alpha	NM_002909
RNASE1	ENSG00000129538	"ribonuclease A family member 1, pancreatic"	NM_002933
RNASE2	ENSG00000169385	ribonuclease A family member 2	NM_002934
RNASE3	ENSG00000169397	ribonuclease A family member 3	NM_002935
S100A4	ENSG00000196154	S100 calcium binding protein A4	NM_002961
S100A7	ENSG00000143556	S100 calcium binding protein A7	NM_002963
S100A9	ENSG00000163220	S100 calcium binding protein A9	NM_002965
CLEC11A	ENSG00000105472	C-type lectin domain containing 11A	NM_002975
CCL1	ENSG00000108702	C-C motif chemokine ligand 1	NM_002981
CCL2	ENSG00000108691	C-C motif chemokine ligand 2	NM_002982
CCL3	ENSG00000277632	C-C motif chemokine ligand 3	NM_002983
CCL4	ENSG00000275302	C-C motif chemokine ligand 4	NM_002984
CCL11	ENSG00000172156	C-C motif chemokine ligand 11	NM_002986
CCL17	ENSG00000102970	C-C motif chemokine ligand 17	NM_002987
CCL18	ENSG00000275385	C-C motif chemokine ligand 18	NM_002988
CCL21	ENSG00000137077	C-C motif chemokine ligand 21	NM_002989
CCL22	ENSG00000102962	C-C motif chemokine ligand 22	NM_002990
CXCL6	ENSG00000124875	C-X-C motif chemokine ligand 6	NM_002993
CXCL5	ENSG00000163735	C-X-C motif chemokine ligand 5	NM_002994
XCL1	ENSG00000143184	X-C motif chemokine ligand 1	NM_002995
SEMG1	ENSG00000124233	semenogelin 1	NM_003007
SEMG2	ENSG00000124157	semenogelin 2	NM_003008
SFRP1	ENSG00000104332	secreted frizzled related protein 1	NM_003012
SFRP2	ENSG00000145423	secreted frizzled related protein 2	NM_003013
SFRP4	ENSG00000106483	secreted frizzled related protein 4	NM_003014
SFRP5	ENSG00000120057	secreted frizzled related protein 5	NM_003015
SFTPD	ENSG00000133661	surfactant protein D	NM_003019
SLIT1	ENSG00000187122	slit guidance ligand 1	NM_003061
SLPI	ENSG00000124107	secretory leukocyte peptidase inhibitor	NM_003064
SOD3	ENSG00000109610	superoxide dismutase 3	NM_003102
STC1	ENSG00000159167	stanniocalcin 1	NM_003155
XCL2	ENSG00000143185	X-C motif chemokine ligand 2	NM_003175
TAC1	ENSG00000006128	tachykinin precursor 1	NM_003182
TFF1	ENSG00000160182	trefoil factor 1	NM_003225
TFF3	ENSG00000160180	trefoil factor 3	NM_003226
TG	ENSG00000042832	thyroglobulin	NM_003235
THBS1	ENSG00000137801	thrombospondin 1	NM_003246
TIMP1	ENSG00000102265	TIMP metallopeptidase inhibitor 1	NM_003254
TIMP2	ENSG00000035862	TIMP metallopeptidase inhibitor 2	NM_003255
TIMP4	ENSG00000157150	TIMP metallopeptidase inhibitor 4	NM_003256
TPSAB1	ENSG00000172236	tryptase alpha/beta 1	NM_003294
TULP2	ENSG00000104804	TUB like protein 2	NM_003323
UCN	ENSG00000163794	urocortin	NM_003353
SCGB1A1	ENSG00000149021	secretoglobin family 1A member 1	NM_003357
VGF	ENSG00000128564	VGF nerve growth factor inducible	NM_003378
VIP	ENSG00000146469	vasoactive intestinal peptide	NM_003381
WNT2	ENSG00000105989	Wnt family member 2	NM_003391
WNT8B	ENSG00000075290	Wnt family member 8B	NM_003393
WNT10B	ENSG00000169884	Wnt family member 10B	NM_003394
WNT9A	ENSG00000143816	Wnt family member 9A	NM_003395
SCG2	ENSG00000171951	secretogranin II	NM_003469
PLA2G10	ENSG00000069764	phospholipase A2 group X	NM_003561
CILP	ENSG00000138615	cartilage intermediate layer protein	NM_003613
PRSS12	ENSG00000164099	serine protease 12	NM_003619
CST7	ENSG00000077984	cystatin F	NM_003650
FCN3	ENSG00000142748	ficolin 3	NM_003665
STC2	ENSG00000113739	stanniocalcin 2	NM_003714
RNASET2	ENSG00000026297	ribonuclease T2	NM_003730
TNFSF12	ENSG00000239697	TNF superfamily member 12	NM_003809
TNFRSF6B	ENSG00000243509	TNF receptor superfamily member 6b	NM_003823
CREG1	ENSG00000143162	cellular repressor of E1A stimulated genes 1	NM_003851
FGF18	ENSG00000156427	fibroblast growth factor 18	NM_003862
FGF16	ENSG00000196468	fibroblast growth factor 16	NM_003868
CCN6	ENSG00000112761	cellular communication network factor 6	NM_003880
FCGBP	ENSG00000275395	Fc gamma binding protein	NM_003890
B2M	ENSG00000166710	beta-2-microglobulin	NM_004048
DEFA1	ENSG00000206047	defensin alpha 1	NM_004084
FCN2	ENSG00000160339	ficolin 2	NM_004108
GIP	ENSG00000159224	gastric inhibitory polypeptide	NM_004123
LBP	ENSG00000129988	lipopolysaccharide binding protein	NM_004139
MMP25	ENSG00000008516	matrix metallopeptidase 25	NM_004142
PSPN	ENSG00000125650	persephin	NM_004158
CCL14	ENSG00000276409	C-C motif chemokine ligand 14	NM_004166
CCL15	ENSG00000275718	C-C motif chemokine ligand 15	NM_004167
LY86	ENSG00000112799	lymphocyte antigen 86	NM_004271
CARTPT	ENSG00000164326	CART prepropeptide	NM_004291
CAMP	ENSG00000164047	cathelicidin antimicrobial peptide	NM_004345
CBLN1	ENSG00000102924	cerebellin 1 precursor	NM_004352
COL6A3	ENSG00000163359	collagen type VI alpha 3 chain	NM_004369
COL12A1	ENSG00000111799	collagen type XII alpha 1 chain	NM_004370
NCAN	ENSG00000130287	neurocan	NM_004386
EFNA1	ENSG00000169242	ephrin A1	NM_004428
FGF10	ENSG00000070193	fibroblast growth factor 10	NM_004465
FGL1	ENSG00000104760	fibrinogen like 1	NM_004467
VEGFD	ENSG00000165197	vascular endothelial growth factor D	NM_004469
NRTN	ENSG00000171119	neurturin	NM_004558
CCL16	ENSG00000275152	C-C motif chemokine ligand 16	NM_004590
SPOCK1	ENSG00000152377	"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"	NM_004598
WNT7A	ENSG00000154764	Wnt family member 7A	NM_004625
WNT11	ENSG00000085741	Wnt family member 11	NM_004626
NMI	ENSG00000123609	N-myc and STAT interactor	NM_004688
CRLF1	ENSG00000006016	cytokine receptor like factor 1	NM_004750
MMP20	ENSG00000137674	matrix metallopeptidase 20	NM_004771
NTN1	ENSG00000065320	netrin 1	NM_004822
NAPSA	ENSG00000131400	napsin A aspartic peptidase	NM_004851
GDF15	ENSG00000130513	growth differentiation factor 15	NM_004864
CXCL14	ENSG00000145824	C-X-C motif chemokine ligand 14	NM_004887
DEFB4A	ENSG00000171711	defensin beta 4A	NM_004942
EPYC	ENSG00000083782	epiphycan	NM_004950
GDF10	ENSG00000266524	growth differentiation factor 10	NM_004962
IBSP	ENSG00000029559	integrin binding sialoprotein	NM_004967
MMP9	ENSG00000100985	matrix metallopeptidase 9	NM_004994
OMD	ENSG00000127083	osteomodulin	NM_005014
ENPP3	ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3	NM_005021
RELN	ENSG00000189056	reelin	NM_005045
CCL23	ENSG00000274736	C-C motif chemokine ligand 23	NM_005064
PGLYRP1	ENSG00000008438	peptidoglycan recognition protein 1	NM_005091
ISG15	ENSG00000187608	ISG15 ubiquitin like modifier	NM_005101
FGF19	ENSG00000162344	fibroblast growth factor 19	NM_005117
FGFBP1	ENSG00000137440	fibroblast growth factor binding protein 1	NM_005130
CBLIF	ENSG00000134812	cobalamin binding intrinsic factor	NM_005142
DEFA3	ENSG00000239839	defensin alpha 3	NM_005217
DEFB1	ENSG00000164825	defensin beta 1	NM_005218
FGF3	ENSG00000186895	fibroblast growth factor 3	NM_005247
MSTN	ENSG00000138379	myostatin	NM_005259
GFER	ENSG00000127554	"growth factor, augmenter of liver regeneration"	NM_005262
CCL13	ENSG00000181374	C-C motif chemokine ligand 13	NM_005408
TFF2	ENSG00000160181	trefoil factor 2	NM_005423
VEGFC	ENSG00000150630	vascular endothelial growth factor C	NM_005429
WNT1	ENSG00000125084	Wnt family member 1	NM_005430
BMP15	ENSG00000130385	bone morphogenetic protein 15	NM_005448
NOG	ENSG00000183691	noggin	NM_005450
CER1	ENSG00000147869	"cerberus 1, DAN family BMP antagonist"	NM_005454
INSL5	ENSG00000172410	insulin like 5	NM_005478
INHBC	ENSG00000175189	inhibin subunit beta C	NM_005538
ISLR	ENSG00000129009	immunoglobulin superfamily containing leucine rich repeat	NM_005545
LAD1	ENSG00000159166	ladinin 1	NM_005558
LAMA1	ENSG00000101680	laminin subunit alpha 1	NM_005559
LAMA5	ENSG00000130702	laminin subunit alpha 5	NM_005560
LAMC2	ENSG00000058085	laminin subunit gamma 2	NM_005562
LCN2	ENSG00000148346	lipocalin 2	NM_005564
LGALS3BP	ENSG00000108679	galectin 3 binding protein	NM_005567
LOXL1	ENSG00000129038	lysyl oxidase like 1	NM_005576
LPA	ENSG00000198670	lipoprotein(a)	NM_005577
RNASE6	ENSG00000169413	ribonuclease A family member k6	NM_005615
S100A12	ENSG00000163221	S100 calcium binding protein A12	NM_005621
CCL8	ENSG00000108700	C-C motif chemokine ligand 8	NM_005623
COLQ	ENSG00000206561	collagen like tail subunit of asymmetric acetylcholinesterase	NM_005677
NAMPT	ENSG00000105835	nicotinamide phosphoribosyltransferase	NM_005746
CELA3A	ENSG00000142789	chymotrypsin like elastase 3A	NM_005747
EBI3	ENSG00000105246	Epstein-Barr virus induced 3	NM_005755
GDF11	ENSG00000135414	growth differentiation factor 11	NM_005811
FSTL3	ENSG00000070404	follistatin like 3	NM_005860
PRSS16	ENSG00000112812	serine protease 16	NM_005865
MMP11	ENSG00000099953	matrix metallopeptidase 11	NM_005940
MUC6	ENSG00000184956	"mucin 6, oligomeric mucus/gel-forming"	NM_005961
SPRR2A	ENSG00000241794	small proline rich protein 2A	NM_005988
MANF	ENSG00000145050	mesencephalic astrocyte derived neurotrophic factor	NM_006010
LAMC3	ENSG00000050555	laminin subunit gamma 3	NM_006059
SEMA3A	ENSG00000075213	semaphorin 3A	NM_006080
PRG3	ENSG00000156575	"proteoglycan 3, pro eosinophil major basic protein 2"	NM_006093
WFDC2	ENSG00000101443	WAP four-disulfide core domain 2	NM_006103
SPON1	ENSG00000262655	spondin 1	NM_006108
SFN	ENSG00000175793	stratifin	NM_006142
GZMA	ENSG00000145649	granzyme A	NM_006144
NPPA	ENSG00000175206	natriuretic peptide A	NM_006172
NTN3	ENSG00000162068	netrin 3	NM_006181
NTS	ENSG00000133636	neurotensin	NM_006183
NUCB1	ENSG00000104805	nucleobindin 1	NM_006184
PRB2	ENSG00000121335	proline rich protein BstNI subfamily 2	NM_006248
CCL19	ENSG00000172724	C-C motif chemokine ligand 19	NM_006274
FST	ENSG00000134363	follistatin	NM_006350
OLFM4	ENSG00000102837	olfactomedin 4	NM_006418
REG1B	ENSG00000172023	regenerating family member 1 beta	NM_006507
SAA4	ENSG00000148965	"serum amyloid A4, constitutive"	NM_006512
WNT6	ENSG00000115596	Wnt family member 6	NM_006522
SCGB1D2	ENSG00000124935	secretoglobin family 1D member 2	NM_006551
SCGB1D1	ENSG00000168515	secretoglobin family 1D member 1	NM_006552
MASP2	ENSG00000009724	MBL associated serine protease 2	NM_006610
SPINT3	ENSG00000101446	"serine peptidase inhibitor, Kunitz type 3"	NM_006652
CCL27	ENSG00000213927	C-C motif chemokine ligand 27	NM_006664
FGL2	ENSG00000127951	fibrinogen like 2	NM_006682
EDDM3A	ENSG00000181562	epididymal protein 3A	NM_006683
SMR3B	ENSG00000171201	submaxillary gland androgen regulated protein 3B	NM_006685
C1QL1	ENSG00000131094	complement C1q like 1	NM_006688
UTS2	ENSG00000049247	urotensin 2	NM_006786
IFNA13	ENSG00000233816	interferon alpha 13	NM_006900
RLN1	ENSG00000107018	relaxin 1	NM_006911
SPP2	ENSG00000072080	secreted phosphoprotein 2	NM_006944
ADAMTS1	ENSG00000154734	ADAM metallopeptidase with thrombospondin type 1 motif 1	NM_006988
KERA	ENSG00000139330	keratocan	NM_007035
ADAMTS8	ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif 8	NM_007037
ADAMTS5	ENSG00000154736	ADAM metallopeptidase with thrombospondin type 1 motif 5	NM_007038
EMILIN1	ENSG00000138080	elastin microfibril interfacer 1	NM_007046
CD160	ENSG00000117281	CD160 molecule	NM_007053
FSTL1	ENSG00000163430	follistatin like 1	NM_007085
GUCA2B	ENSG00000044012	guanylate cyclase activator 2B	NM_007102
TNFAIP6	ENSG00000123610	TNF alpha induced protein 6	NM_007115
TRH	ENSG00000170893	thyrotropin releasing hormone	NM_007117
INSL6	ENSG00000120210	insulin like 6	NM_007179
WIF1	ENSG00000156076	WNT inhibitory factor 1	NM_007191
NXPH4	ENSG00000182379	neurexophilin 4	NM_007224
NXPH3	ENSG00000182575	neurexophilin 3	NM_007225
NXPH2	ENSG00000144227	neurexophilin 2	NM_007226
CTRC	ENSG00000162438	chymotrypsin C	NM_007272
CELA3B	ENSG00000219073	chymotrypsin like elastase 3B	NM_007352
NID2	ENSG00000087303	nidogen 2	NM_007361
ANGPTL2	ENSG00000136859	angiopoietin like 2	NM_012098
DKK1	ENSG00000107984	dickkopf WNT signaling pathway inhibitor 1	NM_012242
IL36RN	ENSG00000136695	interleukin 36 receptor antagonist	NM_012275
KLK9	ENSG00000213022	kallikrein related peptidase 9	NM_012315
SMR3A	ENSG00000109208	submaxillary gland androgen regulated protein 3A	NM_012390
QPCT	ENSG00000115828	glutaminyl-peptide cyclotransferase	NM_012413
TLL2	ENSG00000095587	tolloid like 2	NM_012465
PCSK1N	ENSG00000102109	proprotein convertase subtilisin/kexin type 1 inhibitor	NM_013271
IL17C	ENSG00000124391	interleukin 17C	NM_013278
AGGF1	ENSG00000164252	angiogenic factor with G-patch and FHA domains 1	NM_013303
NENF	ENSG00000117691	neudesin neurotrophic factor	NM_013349
PCOLCE2	ENSG00000163710	procollagen C-endopeptidase enhancer 2	NM_013363
DPP7	ENSG00000176978	dipeptidyl peptidase 7	NM_013379
OGN	ENSG00000106809	osteoglycin	NM_014057
PSORS1C2	ENSG00000204538	psoriasis susceptibility 1 candidate 2	NM_014069
C6orf15	ENSG00000204542	chromosome 6 open reading frame 15	NM_014070
DSPP	ENSG00000152591	dentin sialophosphoprotein	NM_014208
PGA5	ENSG00000256713	pepsinogen A5	NM_014224
ADAMTS3	ENSG00000156140	ADAM metallopeptidase with thrombospondin type 1 motif 3	NM_014243
ADAMTS2	ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2	NM_014244
ADAMTS7	ENSG00000136378	ADAM metallopeptidase with thrombospondin type 1 motif 7	NM_014272
ADAMTS6	ENSG00000049192	ADAM metallopeptidase with thrombospondin type 1 motif 6	NM_014273
OPTC	ENSG00000188770	opticin	NM_014359
DKK4	ENSG00000104371	dickkopf WNT signaling pathway inhibitor 4	NM_014420
DKK2	ENSG00000155011	dickkopf WNT signaling pathway inhibitor 2	NM_014421
IL36B	ENSG00000136696	interleukin 36 beta	NM_014438
IL37	ENSG00000125571	interleukin 37	NM_014439
IL36A	ENSG00000136694	interleukin 36 alpha	NM_014440
TINAG	ENSG00000137251	tubulointerstitial nephritis antigen	NM_014464
SRPX2	ENSG00000102359	sushi repeat containing protein X-linked 2	NM_014467
SPINK4	ENSG00000122711	serine peptidase inhibitor Kazal type 4	NM_014471
BMP10	ENSG00000163217	bone morphogenetic protein 10	NM_014482
ANGPTL3	ENSG00000132855	angiopoietin like 3	NM_014495
PLA2G2E	ENSG00000188784	phospholipase A2 group IIE	NM_014589
VASH1	ENSG00000071246	vasohibin 1	NM_014909
CHSY1	ENSG00000131873	chondroitin sulfate synthase 1	NM_014918
FSTL4	ENSG00000053108	follistatin like 4	NM_015082
MXRA5	ENSG00000101825	matrix remodeling associated 5	NM_015419
SOSTDC1	ENSG00000171243	sclerostin domain containing 1	NM_015464
CPAMD8	ENSG00000160111	C3 and PZP like alpha-2-macroglobulin domain containing 8	NM_015692
GPX7	ENSG00000116157	glutathione peroxidase 7	NM_015696
PLA2G3	ENSG00000100078	phospholipase A2 group III	NM_015715
COL5A3	ENSG00000080573	collagen type V alpha 3 chain	NM_015719
