SYMBOL	ENSEMBL	GENENAME	REFSEQ
Wnt6	ENSMUSG00000033227	"wingless-type MMTV integration site family, member 6"	NM_009526
Adipoq	ENSMUSG00000022878	"adiponectin, C1Q and collagen domain containing"	NM_009605
Adamts1	ENSMUSG00000022893	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1"	NM_009621
Adm	ENSMUSG00000030790	adrenomedullin	NM_009627
Crisp1	ENSMUSG00000025431	cysteine-rich secretory protein 1	NM_009638
Crisp3	ENSMUSG00000025433	cysteine-rich secretory protein 3	NM_009639
Angpt4	ENSMUSG00000027460	angiopoietin 4	NM_009641
Alb	ENSMUSG00000029368	albumin	NM_009654
Aoc3	ENSMUSG00000019326	"amine oxidase, copper containing 3"	NM_009675
Cd5l	ENSMUSG00000015854	CD5 antigen-like	NM_009690
Apoa1	ENSMUSG00000032083	apolipoprotein A-I	NM_009692
Apob	ENSMUSG00000020609	apolipoprotein B	NM_009693
Avp	ENSMUSG00000037727	arginine vasopressin	NM_009732
B2m	ENSMUSG00000060802	beta-2 microglobulin	NM_009735
Bche	ENSMUSG00000027792	butyrylcholinesterase	NM_009738
Bmp10	ENSMUSG00000030046	bone morphogenetic protein 10	NM_009756
Bmp15	ENSMUSG00000023279	bone morphogenetic protein 15	NM_009757
Serping1	ENSMUSG00000023224	"serine (or cysteine) peptidase inhibitor, clade G, member 1"	NM_009776
C3	ENSMUSG00000024164	complement component 3	NM_009778
C4b	ENSMUSG00000073418	complement component 4B (Chido blood group)	NM_009780
Cd14	ENSMUSG00000051439	CD14 antigen	NM_009841
Cel	ENSMUSG00000026818	carboxyl ester lipase	NM_009885
Cer1	ENSMUSG00000038192	"cerberus 1, DAN family BMP antagonist"	NM_009887
Cfh	ENSMUSG00000026365	complement component factor h	NM_009888
Cga	ENSMUSG00000028298	"glycoprotein hormones, alpha subunit"	NM_009889
Camp	ENSMUSG00000038357	cathelicidin antimicrobial peptide	NM_009921
Col10a1	ENSMUSG00000039462	"collagen, type X, alpha 1"	NM_009925
Col15a1	ENSMUSG00000028339	"collagen, type XV, alpha 1"	NM_009928
Col3a1	ENSMUSG00000026043	"collagen, type III, alpha 1"	NM_009930
Col4a1	ENSMUSG00000031502	"collagen, type IV, alpha 1"	NM_009931
Col4a2	ENSMUSG00000031503	"collagen, type IV, alpha 2"	NM_009932
Col6a1	ENSMUSG00000001119	"collagen, type VI, alpha 1"	NM_009933
Colq	ENSMUSG00000057606	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	NM_009937
Copa	ENSMUSG00000026553	coatomer protein complex subunit alpha	NM_009938
Csf2	ENSMUSG00000018916	colony stimulating factor 2 (granulocyte-macrophage)	NM_009969
Csf3	ENSMUSG00000038067	colony stimulating factor 3 (granulocyte)	NM_009971
Cst3	ENSMUSG00000027447	cystatin C	NM_009976
Cst7	ENSMUSG00000068129	cystatin F (leukocystatin)	NM_009977
Cst8	ENSMUSG00000027442	cystatin 8 (cystatin-related epididymal spermatogenic)	NM_009978
Cst9	ENSMUSG00000027445	cystatin 9	NM_009979
Ctsd	ENSMUSG00000007891	cathepsin D	NM_009983
Defa1	NA	"defensin, alpha 1"	NM_010031
Defa4	NA	"defensin, alpha, 4"	NM_010039
Dkk1	ENSMUSG00000024868	dickkopf WNT signaling pathway inhibitor 1	NM_010051
Dspp	ENSMUSG00000053268	dentin sialophosphoprotein	NM_010080
Lefty1	ENSMUSG00000038793	left right determination factor 1	NM_010094
Edn1	ENSMUSG00000021367	endothelin 1	NM_010104
F2	ENSMUSG00000027249	coagulation factor II	NM_010168
F7	ENSMUSG00000031443	coagulation factor VII	NM_010172
Fbn2	ENSMUSG00000024598	fibrillin 2	NM_010181
Fgf1	ENSMUSG00000036585	fibroblast growth factor 1	NM_010197
Fgf4	ENSMUSG00000050917	fibroblast growth factor 4	NM_010202
Fgf6	ENSMUSG00000000183	fibroblast growth factor 6	NM_010204
Il4i1	ENSMUSG00000074141	interleukin 4 induced 1	NM_010215
Ccn2	ENSMUSG00000019997	cellular communication network factor 2	NM_010217
Gast	ENSMUSG00000017165	gastrin	NM_010257
Gdf11	ENSMUSG00000025352	growth differentiation factor 11	NM_010272
Gpx5	ENSMUSG00000004344	glutathione peroxidase 5	NM_010343
Gzma	ENSMUSG00000023132	granzyme A	NM_010370
Hcrt	ENSMUSG00000045471	hypocretin	NM_010410
Iapp	ENSMUSG00000041681	islet amyloid polypeptide	NM_010491
Ifna1	ENSMUSG00000095498	interferon alpha 1	NM_010502
Ifna2	ENSMUSG00000078354	interferon alpha 2	NM_010503
Ifna4	ENSMUSG00000070904	interferon alpha 4	NM_010504
Ifna5	ENSMUSG00000096682	interferon alpha 5	NM_010505
Ifnb1	ENSMUSG00000048806	"interferon beta 1, fibroblast"	NM_010510
Ccn1	ENSMUSG00000028195	cellular communication network factor 1	NM_010516
Igfbp4	ENSMUSG00000017493	insulin-like growth factor binding protein 4	NM_010517
Igfbp5	ENSMUSG00000026185	insulin-like growth factor binding protein 5	NM_010518
Il10	ENSMUSG00000016529	interleukin 10	NM_010548
Il17a	ENSMUSG00000025929	interleukin 17A	NM_010552
Il1a	ENSMUSG00000027399	interleukin 1 alpha	NM_010554
Il3	ENSMUSG00000018914	interleukin 3	NM_010556
Il5	ENSMUSG00000036117	interleukin 5	NM_010558
Inhbc	ENSMUSG00000025405	inhibin beta-C	NM_010565
Itih2	ENSMUSG00000037254	"inter-alpha trypsin inhibitor, heavy chain 2"	NM_010582
Itln1	ENSMUSG00000038209	intelectin 1 (galactofuranose binding)	NM_010584
Krt10	ENSMUSG00000019761	keratin 10	NM_010660
Lalba	ENSMUSG00000022991	"lactalbumin, alpha"	NM_010679
Lama4	ENSMUSG00000019846	"laminin, alpha 4"	NM_010681
Lamc1	ENSMUSG00000026478	"laminin, gamma 1"	NM_010683
Lect2	ENSMUSG00000021539	leukocyte cell-derived chemotaxin 2	NM_010702
Lipg	ENSMUSG00000053846	"lipase, endothelial"	NM_010720
Loxl1	ENSMUSG00000032334	lysyl oxidase-like 1	NM_010729
Anxa1	ENSMUSG00000024659	annexin A1	NM_010730
Lta	ENSMUSG00000024402	lymphotoxin A	NM_010735
Ly86	ENSMUSG00000021423	lymphocyte antigen 86	NM_010745
Matn1	ENSMUSG00000040533	"matrilin 1, cartilage matrix protein"	NM_010769
Matn3	ENSMUSG00000020583	matrilin 3	NM_010770
Cma1	ENSMUSG00000022225	"chymase 1, mast cell"	NM_010780
Tpsb2	ENSMUSG00000033825	tryptase beta 2	NM_010781
Mif	ENSMUSG00000033307	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	NM_010798
Mmp3	ENSMUSG00000043613	matrix metallopeptidase 3	NM_010809
Mstn	ENSMUSG00000026100	myostatin	NM_010834
Muc5ac	ENSMUSG00000037974	"mucin 5, subtypes A and C, tracheobronchial/gastric"	NM_010844
Myoc	ENSMUSG00000026697	myocilin	NM_010865
Ndp	ENSMUSG00000040138	Norrie disease (pseudoglioma) (human)	NM_010883
Nid1	ENSMUSG00000005397	nidogen 1	NM_010917
Ccn3	ENSMUSG00000037362	cellular communication network factor 3	NM_010930
Nppc	ENSMUSG00000026241	natriuretic peptide type C	NM_010933
Ntn3	ENSMUSG00000117406	netrin 3	NM_010947
Oit3	ENSMUSG00000009654	oncoprotein induced transcript 3	NM_010959
Orm2	ENSMUSG00000061540	orosomucoid 2	NM_011016
Oxt	ENSMUSG00000027301	oxytocin	NM_011025
Pltp	ENSMUSG00000017754	phospholipid transfer protein	NM_011125
Bpifa1	ENSMUSG00000027483	"BPI fold containing family A, member 1"	NM_011126
Ppib	ENSMUSG00000032383	peptidylprolyl isomerase B	NM_011149
Lgals3bp	ENSMUSG00000033880	"lectin, galactoside-binding, soluble, 3 binding protein"	NM_011150
Pros1	ENSMUSG00000022912	protein S (alpha)	NM_011173
Prtn3	ENSMUSG00000057729	proteinase 3	NM_011178
Reg3a	ENSMUSG00000079516	regenerating islet-derived 3 alpha	NM_011259
Reg3g	ENSMUSG00000030017	regenerating islet-derived 3 gamma	NM_011260
Rnase1	ENSMUSG00000035896	"ribonuclease, RNase A family, 1 (pancreatic)"	NM_011271
Rln1	ENSMUSG00000039097	relaxin 1	NM_011272
Rs1	ENSMUSG00000031293	"retinoschisis (X-linked, juvenile) 1 (human)"	NM_011302
Saa4	ENSMUSG00000040017	serum amyloid A 4	NM_011316
Apcs	ENSMUSG00000026542	"amyloid P component, serum"	NM_011318
Ccl1	ENSMUSG00000020702	chemokine (C-C motif) ligand 1	NM_011329
Ccl11	ENSMUSG00000020676	chemokine (C-C motif) ligand 11	NM_011330
Ccl17	ENSMUSG00000031780	chemokine (C-C motif) ligand 17	NM_011332
Ccl2	ENSMUSG00000035385	chemokine (C-C motif) ligand 2	NM_011333
Ccl3	ENSMUSG00000000982	chemokine (C-C motif) ligand 3	NM_011337
Serpinf1	ENSMUSG00000000753	"serine (or cysteine) peptidase inhibitor, clade F, member 1"	NM_011340
Sema3e	ENSMUSG00000063531	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E"	NM_011348
Frzb	ENSMUSG00000027004	frizzled-related protein	NM_011356
Sftpc	ENSMUSG00000022097	surfactant associated protein C	NM_011359
Shbg	ENSMUSG00000005202	sex hormone binding globulin	NM_011367
Slit3	ENSMUSG00000056427	slit guidance ligand 3	NM_011412
C4a	ENSMUSG00000015451	complement component 4A (Rodgers blood group)	NM_011413
Smpd1	ENSMUSG00000037049	"sphingomyelin phosphodiesterase 1, acid lysosomal"	NM_011421
Smr3a	ENSMUSG00000029280	submaxillary gland androgen regulated protein 3A	NM_011422
Sod3	ENSMUSG00000072941	"superoxide dismutase 3, extracellular"	NM_011435
Spink4	ENSMUSG00000028415	"serine peptidase inhibitor, Kazal type 4"	NM_011463
Stc2	ENSMUSG00000020303	stanniocalcin 2	NM_011491
Cntn2	ENSMUSG00000053024	contactin 2	NM_011531
Tdgf1	ENSMUSG00000032494	teratocarcinoma-derived growth factor 1	NM_011562
Tff3	ENSMUSG00000024029	"trefoil factor 3, intestinal"	NM_011575
Tgfb1	ENSMUSG00000002603	"transforming growth factor, beta 1"	NM_011577
Thbs2	ENSMUSG00000023885	thrombospondin 2	NM_011581
Thbs4	ENSMUSG00000021702	thrombospondin 4	NM_011582
Timp2	ENSMUSG00000017466	tissue inhibitor of metalloproteinase 2	NM_011594
Timp3	ENSMUSG00000020044	tissue inhibitor of metalloproteinase 3	NM_011595
Clec3b	ENSMUSG00000025784	"C-type lectin domain family 3, member b"	NM_011606
Tnfsf12	ENSMUSG00000097328	"tumor necrosis factor (ligand) superfamily, member 12"	NM_011614
Prss3	ENSMUSG00000071519	"protease, serine 3"	NM_011645
Scgb1a1	ENSMUSG00000024653	"secretoglobin, family 1A, member 1"	NM_011681
Vtn	ENSMUSG00000017344	vitronectin	NM_011707
Vwf	ENSMUSG00000001930	Von Willebrand factor	NM_011708
Wnt10b	ENSMUSG00000022996	"wingless-type MMTV integration site family, member 10B"	NM_011718
Wnt9b	ENSMUSG00000018486	"wingless-type MMTV integration site family, member 9B"	NM_011719
Wnt8b	ENSMUSG00000036961	"wingless-type MMTV integration site family, member 8B"	NM_011720
Adamts5	ENSMUSG00000022894	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)"	NM_011782
C1ql1	ENSMUSG00000045532	"complement component 1, q subcomponent-like 1"	NM_011795
Creg1	ENSMUSG00000040713	cellular repressor of E1A-stimulated genes 1	NM_011804
Grem1	ENSMUSG00000074934	"gremlin 1, DAN family BMP antagonist"	NM_011824
Grem2	ENSMUSG00000050069	"gremlin 2, DAN family BMP antagonist"	NM_011825
Lamc3	ENSMUSG00000026840	laminin gamma 3	NM_011836
Mmp17	ENSMUSG00000029436	matrix metallopeptidase 17	NM_011846
Klk7	ENSMUSG00000030713	"kallikrein related-peptidase 7 (chymotryptic, stratum corneum)"	NM_011872
Ccl19	ENSMUSG00000071005	chemokine (C-C motif) ligand 19	NM_011888
Tll2	ENSMUSG00000025013	tolloid-like 2	NM_011904
Uts2	ENSMUSG00000028963	urotensin 2	NM_011910
Wif1	ENSMUSG00000020218	Wnt inhibitory factor 1	NM_011915
Angptl2	ENSMUSG00000004105	angiopoietin-like 2	NM_011923
Plod3	ENSMUSG00000004846	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"	NM_011962
Tinag	ENSMUSG00000032357	tubulointerstitial nephritis antigen	NM_012033
Pla2g2e	ENSMUSG00000028751	"phospholipase A2, group IIE"	NM_012044
Apoh	ENSMUSG00000000049	apolipoprotein H	NM_013475
Azgp1	ENSMUSG00000037053	"alpha-2-glycoprotein 1, zinc"	NM_013478
C2	ENSMUSG00000024371	complement component 2 (within H-2S)	NM_013484
Clu	ENSMUSG00000022037	clusterin	NM_013492
Hapln1	ENSMUSG00000021613	hyaluronan and proteoglycan link protein 1	NM_013500
Fgf9	ENSMUSG00000021974	fibroblast growth factor 9	NM_013518
Gdf6	ENSMUSG00000051279	growth differentiation factor 6	NM_013526
Gzmb	ENSMUSG00000015437	granzyme B	NM_013542
Insl3	ENSMUSG00000079019	insulin-like 3	NM_013564
Loxl3	ENSMUSG00000000693	lysyl oxidase-like 3	NM_013586
Mmp9	ENSMUSG00000017737	matrix metallopeptidase 9	NM_013599
Nodal	ENSMUSG00000037171	nodal	NM_013611
Otog	ENSMUSG00000009487	otogelin	NM_013624
Pcsk1	ENSMUSG00000021587	proprotein convertase subtilisin/kexin type 1	NM_013628
S100a8	ENSMUSG00000056054	S100 calcium binding protein A8 (calgranulin A)	NM_013650
Ccl4	ENSMUSG00000018930	chemokine (C-C motif) ligand 4	NM_013652
Sema3c	ENSMUSG00000028780	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"	NM_013657
Thbs3	ENSMUSG00000028047	thrombospondin 3	NM_013691
Ttr	ENSMUSG00000061808	transthyretin	NM_013697
Pla2g7	ENSMUSG00000023913	"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"	NM_013737
Insl6	ENSMUSG00000050957	insulin-like 6	NM_013754
Sfrp1	ENSMUSG00000031548	secreted frizzled-related protein 1	NM_013834
Pcsk1n	ENSMUSG00000039278	proprotein convertase subtilisin/kexin type 1 inhibitor	NM_013892
Mmp20	ENSMUSG00000018620	matrix metallopeptidase 20 (enamelysin)	NM_013903
Apln	ENSMUSG00000037010	apelin	NM_013912
Angptl3	ENSMUSG00000028553	angiopoietin-like 3	NM_013913
Col5a1	ENSMUSG00000026837	"collagen, type V, alpha 1"	NM_015734
Rbp3	ENSMUSG00000041534	"retinol binding protein 3, interstitial"	NM_015745
Slit1	ENSMUSG00000025020	slit guidance ligand 1	NM_015748
Ebi3	ENSMUSG00000003206	Epstein-Barr virus induced gene 3	NM_015766
Elane	ENSMUSG00000020125	"elastase, neutrophil expressed"	NM_015779
Cfhr1	ENSMUSG00000057037	complement factor H-related 1	NM_015780
Isg15	ENSMUSG00000035692	ISG15 ubiquitin-like modifier	NM_015783
Dkkl1	ENSMUSG00000030792	dickkopf-like 1	NM_015789
Comp	ENSMUSG00000031849	cartilage oligomeric matrix protein	NM_016685
Sfrp4	ENSMUSG00000021319	secreted frizzled-related protein 4	NM_016687
C6	ENSMUSG00000022181	complement component 6	NM_016704
Nptx2	ENSMUSG00000059991	neuronal pentraxin 2	NM_016789
Ccn5	ENSMUSG00000027656	cellular communication network factor 5	NM_016873
Prg3	ENSMUSG00000027072	proteoglycan 3	NM_016914
Il22	ENSMUSG00000074695	interleukin 22	NM_016971
Hpx	ENSMUSG00000030895	hemopexin	NM_017371
Semg1	ENSMUSG00000040132	semenogelin 1	NM_017390
Enam	ENSMUSG00000029286	enamelin	NM_017468
Clca1	ENSMUSG00000028255	chloride channel accessory 1	NM_017474
Igfbpl1	ENSMUSG00000035551	insulin-like growth factor binding protein-like 1	NM_018741
Sfn	ENSMUSG00000047281	stratifin	NM_018754
Cpq	ENSMUSG00000039007	carboxypeptidase Q	NM_018755
Sfrp5	ENSMUSG00000018822	secreted frizzled-related sequence protein 5	NM_018780
Npff	ENSMUSG00000023052	neuropeptide FF-amide peptide precursor	NM_018787
Apom	ENSMUSG00000024391	apolipoprotein M	NM_018816
Ccn4	ENSMUSG00000005124	cellular communication network factor 4	NM_018865
Cxcl13	ENSMUSG00000023078	chemokine (C-X-C motif) ligand 13	NM_018866
Cpxm2	ENSMUSG00000030862	carboxypeptidase X 2 (M14 family)	NM_018867
Pnliprp1	ENSMUSG00000042179	pancreatic lipase related protein 1	NM_018874
Mia	ENSMUSG00000089661	MIA SH3 domain containing	NM_019394
Egfl6	ENSMUSG00000000402	"EGF-like-domain, multiple 6"	NM_019397
Prss16	ENSMUSG00000006179	"protease, serine 16 (thymus)"	NM_019429
Hgfac	ENSMUSG00000029102	hepatocyte growth factor activator	NM_019447
Il36a	ENSMUSG00000026984	interleukin 36A	NM_019450
Mmp10	ENSMUSG00000047562	matrix metallopeptidase 10	NM_019471
Cxcl11	NA	chemokine (C-X-C motif) ligand 11	NM_019494
Gdf2	ENSMUSG00000072625	growth differentiation factor 2	NM_019506
Il17b	ENSMUSG00000024578	interleukin 17B	NM_019508
Nmu	ENSMUSG00000029236	neuromedin U	NM_019515
Gas6	ENSMUSG00000031451	growth arrest specific 6	NM_019521
Htra1	ENSMUSG00000006205	HtrA serine peptidase 1	NM_019564
Cxcl14	ENSMUSG00000021508	chemokine (C-X-C motif) ligand 14	NM_019568
Cbln1	ENSMUSG00000031654	cerebellin 1 precursor protein	NM_019626
Cpxm1	ENSMUSG00000027408	carboxypeptidase X 1 (M14 family)	NM_019696
Dpt	ENSMUSG00000026574	dermatopontin	NM_019759
Cpb2	ENSMUSG00000021999	carboxypeptidase B2 (plasma)	NM_019775
Cbln3	ENSMUSG00000040380	cerebellin 3 precursor protein	NM_019820
Crtap	ENSMUSG00000032431	cartilage associated protein	NM_019922
Klk4	ENSMUSG00000006948	"kallikrein related-peptidase 4 (prostase, enamel matrix, prostate)"	NM_019928
Pf4	ENSMUSG00000029373	platelet factor 4	NM_019932
Fgf21	ENSMUSG00000030827	fibroblast growth factor 21	NM_020013
Scube2	ENSMUSG00000007279	"signal peptide, CUB domain, EGF-like 2"	NM_020052
Pate4	ENSMUSG00000032099	prostate and testis expressed 4	NM_020264
Dkk2	ENSMUSG00000028031	dickkopf WNT signaling pathway inhibitor 2	NM_020265
Lgi1	ENSMUSG00000067242	"leucine-rich repeat LGI family, member 1"	NM_020278
Ccl28	ENSMUSG00000074715	chemokine (C-C motif) ligand 28	NM_020279
Slurp1	ENSMUSG00000022596	secreted Ly6/Plaur domain containing 1	NM_020519
Smpdl3a	ENSMUSG00000019872	"sphingomyelin phosphodiesterase, acid-like 3A"	NM_020561
Psors1c2	ENSMUSG00000024409	psoriasis susceptibility 1 candidate 2 (human)	NM_020576
Angptl4	ENSMUSG00000002289	angiopoietin-like 4	NM_020581
Otor	ENSMUSG00000027416	otoraplin	NM_020595
Pth	ENSMUSG00000059077	parathyroid hormone	NM_020623
Cxcl10	ENSMUSG00000034855	chemokine (C-X-C motif) ligand 10	NM_021274
Wnt1	ENSMUSG00000022997	"wingless-type MMTV integration site family, member 1"	NM_021279
Il4	ENSMUSG00000000869	interleukin 4	NM_021283
Ntn4	ENSMUSG00000020019	netrin 4	NM_021320
Fmod	ENSMUSG00000041559	fibromodulin	NM_021355
Pappa	ENSMUSG00000028370	pregnancy-associated plasma protein A	NM_021362
Tslp	ENSMUSG00000024379	thymic stromal lymphopoietin	NM_021367
Ccl8	ENSMUSG00000009185	chemokine (C-C motif) ligand 8	NM_021443
Pga5	ENSMUSG00000024738	"pepsinogen 5, group I"	NM_021453
Rnase4	ENSMUSG00000021876	"ribonuclease, RNase A family 4"	NM_021472
Adamdec1	ENSMUSG00000022057	"ADAM-like, decysin 1"	NM_021475
F12	ENSMUSG00000021492	coagulation factor XII (Hageman factor)	NM_021489
Nampt	ENSMUSG00000020572	nicotinamide phosphoribosyltransferase	NM_021524
Npvf	ENSMUSG00000029831	neuropeptide VF precursor	NM_021892
Impg1	ENSMUSG00000032343	interphotoreceptor matrix proteoglycan 1	NM_022016
Hapln2	ENSMUSG00000004894	hyaluronan and proteoglycan link protein 2	NM_022031
Tnr	ENSMUSG00000015829	tenascin R	NM_022312
Smoc2	ENSMUSG00000023886	SPARC related modular calcium binding 2	NM_022315
Fgf23	ENSMUSG00000000182	fibroblast growth factor 23	NM_022657
Twsg1	ENSMUSG00000024098	twisted gastrulation BMP signaling modulator 1	NM_023053
Sftpa1	ENSMUSG00000021789	surfactant associated protein A1	NM_023134
Ctrl	ENSMUSG00000031896	chymotrypsin-like	NM_023182
Wfdc1	ENSMUSG00000023336	WAP four-disulfide core domain 1	NM_023395
Npc2	ENSMUSG00000021242	NPC intracellular cholesterol transporter 2	NM_023409
Npy	ENSMUSG00000029819	neuropeptide Y	NM_023456
Pla2g12b	ENSMUSG00000009646	"phospholipase A2, group XIIB"	NM_023530
Esm1	ENSMUSG00000042379	endothelial cell-specific molecule 1	NM_023612
Wnt2	ENSMUSG00000010797	"wingless-type MMTV integration site family, member 2"	NM_023653
Ppbp	ENSMUSG00000029372	pro-platelet basic protein	NM_023785
Retnlb	ENSMUSG00000022650	resistin like beta	NM_023881
Lipm	ENSMUSG00000056078	"lipase, family member M"	NM_023903
Gpx7	ENSMUSG00000028597	glutathione peroxidase 7	NM_024198
Fbln7	ENSMUSG00000027386	fibulin 7	NM_024237
Ecrg4	ENSMUSG00000026051	ECRG4 augurin precursor	NM_024283
Nts	ENSMUSG00000019890	neurotensin	NM_024435
Sost	ENSMUSG00000001494	sclerostin	NM_024449
Sostdc1	ENSMUSG00000036169	sclerostin domain containing 1	NM_025312
Cpa1	ENSMUSG00000054446	"carboxypeptidase A1, pancreatic"	NM_025350
Nenf	ENSMUSG00000037499	neuron derived neurotrophic factor	NM_025424
Gkn1	ENSMUSG00000030050	gastrokine 1	NM_025466
Gkn2	ENSMUSG00000030049	gastrokine 2	NM_025467
Ctrb1	ENSMUSG00000031957	chymotrypsinogen B1	NM_025583
Aggf1	ENSMUSG00000021681	angiogenic factor with G patch and FHA domains 1	NM_025630
Bpifb2	ENSMUSG00000027481	"BPI fold containing family B, member 2"	NM_025631
Col27a1	ENSMUSG00000045672	"collagen, type XXVII, alpha 1"	NM_025685
Dnase1l2	ENSMUSG00000024136	deoxyribonuclease 1-like 2	NM_025718
Spesp1	ENSMUSG00000046846	sperm equatorial segment protein 1	NM_025721
Pgc	ENSMUSG00000023987	progastricsin (pepsinogen C)	NM_025973
C1qtnf12	ENSMUSG00000023571	C1q and tumor necrosis factor related 12	NM_026125
C1qtnf4	ENSMUSG00000040794	C1q and tumor necrosis factor related protein 4	NM_026161
Abhd15	ENSMUSG00000000686	abhydrolase domain containing 15	NM_026185
Cuta	ENSMUSG00000024194	cutA divalent cation tolerance homolog	NM_026307
Prss37	ENSMUSG00000029909	"protease, serine 37"	NM_026317
Reg4	ENSMUSG00000027876	"regenerating islet-derived family, member 4"	NM_026328
Lipf	ENSMUSG00000024768	"lipase, gastric"	NM_026334
Cela3b	ENSMUSG00000023433	"chymotrypsin-like elastase family, member 3B"	NM_026419
Ccdc80	ENSMUSG00000022665	coiled-coil domain containing 80	NM_026439
Serpini2	ENSMUSG00000034139	"serine (or cysteine) peptidase inhibitor, clade I, member 2"	NM_026460
Serpina12	ENSMUSG00000041567	"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"	NM_026535
Klk5	ENSMUSG00000074155	kallikrein related-peptidase 5	NM_026806
Cilp2	ENSMUSG00000044006	cartilage intermediate layer protein 2	NM_026818
Pdgfrl	ENSMUSG00000031595	platelet-derived growth factor receptor-like	NM_026840
Zg16	ENSMUSG00000049350	zymogen granule protein 16	NM_026918
Pnlip	ENSMUSG00000046008	pancreatic lipase	NM_026925
C1qtnf2	ENSMUSG00000046491	C1q and tumor necrosis factor related protein 2	NM_026979
Glipr1l1	ENSMUSG00000020213	GLI pathogenesis-related 1 like 1	NM_027018
Lyg1	ENSMUSG00000026085	lysozyme G-like 1	NM_027111
Enho	ENSMUSG00000028445	energy homeostasis associated	NM_027147
Il36b	ENSMUSG00000026985	interleukin 36B	NM_027163
Col22a1	ENSMUSG00000079022	"collagen, type XXII, alpha 1"	NM_027174
Mzb1	ENSMUSG00000024353	marginal zone B and B1 cell-specific protein 1	NM_027222
Ifi35	ENSMUSG00000010358	interferon-induced protein 35	NM_027320
Lipn	ENSMUSG00000024770	"lipase, family member N"	NM_027340
Draxin	ENSMUSG00000029005	dorsal inhibitory axon guidance protein	NM_027426
Amtn	ENSMUSG00000029282	amelotin	NM_027793
Izumo4	ENSMUSG00000055862	IZUMO family member 4	NM_027829
Cpn2	ENSMUSG00000023176	"carboxypeptidase N, polypeptide 2"	NM_027904
Vwce	ENSMUSG00000043789	von Willebrand factor C and EGF domains	NM_027913
Cpa4	ENSMUSG00000039070	carboxypeptidase A4	NM_027926
Wfdc3	ENSMUSG00000076434	WAP four-disulfide core domain 3	NM_027961
Btbd17	ENSMUSG00000000202	BTB (POZ) domain containing 17	NM_028055
Fgfbp3	ENSMUSG00000047632	fibroblast growth factor binding protein 3	NM_028263
Angptl1	ENSMUSG00000033544	angiopoietin-like 1	NM_028333
Rspo3	ENSMUSG00000019880	R-spondin 3	NM_028351
Ttc9b	ENSMUSG00000007944	tetratricopeptide repeat domain 9B	NM_028417
Bmper	ENSMUSG00000031963	BMP-binding endothelial regulator	NM_028472
Col20a1	ENSMUSG00000016356	"collagen, type XX, alpha 1"	NM_028518
Pebp4	ENSMUSG00000022085	phosphatidylethanolamine binding protein 4	NM_028526
Tepp	ENSMUSG00000090206	"testis, prostate and placenta expressed"	NM_028532
Cst6	ENSMUSG00000024846	cystatin E/M	NM_028623
Klk9	ENSMUSG00000047884	kallikrein related-peptidase 9	NM_028660
Muc5b	ENSMUSG00000066108	"mucin 5, subtype B, tracheobronchial"	NM_028801
Ccdc3	ENSMUSG00000026676	coiled-coil domain containing 3	NM_028804
Sema3d	ENSMUSG00000040254	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D"	NM_028882
Lrrc17	ENSMUSG00000039883	leucine rich repeat containing 17	NM_028977
Glb1l	ENSMUSG00000026200	"galactosidase, beta 1-like"	NM_029010
Scpep1	ENSMUSG00000000278	serine carboxypeptidase 1	NM_029023
Manf	ENSMUSG00000032575	mesencephalic astrocyte-derived neurotrophic factor	NM_029103
Ct55	ENSMUSG00000055555	cancer/testis antigen 55	NM_029142
Spp2	ENSMUSG00000026295	secreted phosphoprotein 2	NM_029269
Pibf1	ENSMUSG00000022064	progesterone immunomodulatory binding factor 1	NM_029320
Eppin	ENSMUSG00000017733	epididymal peptidase inhibitor	NM_029325
Vwa5b1	ENSMUSG00000028753	von Willebrand factor A domain containing 5B1	NM_029401
Il31	ENSMUSG00000029437	interleukin 31	NM_029594
Pcolce2	ENSMUSG00000015354	procollagen C-endopeptidase enhancer 2	NM_029620
Cpb1	ENSMUSG00000011463	carboxypeptidase B1 (tissue)	NM_029706
Lrg1	ENSMUSG00000037095	leucine-rich alpha-2-glycoprotein 1	NM_029796
Lcn12	ENSMUSG00000026943	lipocalin 12	NM_029958
Lcn9	ENSMUSG00000023210	lipocalin 9	NM_029959
Pmch	ENSMUSG00000035383	pro-melanin-concentrating hormone	NM_029971
Adamtsl2	ENSMUSG00000036040	ADAMTS-like 2	NM_029981
Spint4	ENSMUSG00000017310	"serine protease inhibitor, Kunitz type 4"	NM_030058
Cst11	ENSMUSG00000036958	cystatin 11	NM_030059
